Galaxy Express 999,https://upload.wikimedia.org/wikipedia/en/f/f2/Galaxy_Express_999_manga_vol_1_%281994_reprint%29.jpg
Gauche the Cellist,https://upload.wikimedia.org/wikipedia/en/0/01/Gauche_AMJuJu.jpg
GoShogun,https://upload.wikimedia.org/wikipedia/en/8/8d/Emotion_the_Best-_Sengoku_Majin_GoShogun_DVD-Box.jpg
Honey Honey no Suteki na Bouken,https://upload.wikimedia.org/wikipedia/en/3/37/Honey_Honey_no_Suteki_na_Bouken.jpg
Kyoufu Densetsu Kaiki! Frankenstein,https://upload.wikimedia.org/wikipedia/en/8/84/Kyofu_Densetsu_Kaiki%21_Furankenshutain.jpg
Little Women (1981 TV series),https://upload.wikimedia.org/wikipedia/en/f/f5/Little_Women_%281981_TV_series%29.jpg
Masami Anno,https://upload.wikimedia.org/wikipedia/en/2/27/Ch%C5%ABka_Ichiban%21_japanese_manga_vol_1_cover.jpg
Miss Machiko,https://upload.wikimedia.org/wikipedia/en/f/f5/Maicching_Machiko-sensei.jpg
Mobile Suit Gundam,https://upload.wikimedia.org/wikipedia/en/f/f8/MobileSuitGundamDVDbox.jpg
Natsu e no Tobira,https://upload.wikimedia.org/wikipedia/en/6/68/Anthology-Natsu-e-no-Tobira.jpg
Ojamanga Yamada-kun,https://upload.wikimedia.org/wikipedia/en/7/72/Ojamanga_Yamada-kun.jpg
Superbook,https://upload.wikimedia.org/wikipedia/en/c/c8/Superbook_DVD_vol_1.jpg
Swan Lake (1981 film),https://upload.wikimedia.org/wikipedia/en/2/28/Swan_Lake_%281981_film%29.jpg
The Sea Prince and the Fire Child,https://upload.wikimedia.org/wikipedia/en/0/02/The_Sea_Prince_and_the_Fire_Child_VideoCover.jpeg
Tiger Mask,https://upload.wikimedia.org/wikipedia/en/b/b7/Tiger_Mask_vol_1.jpg
Unico,https://upload.wikimedia.org/wikipedia/en/1/18/Unico-1.jpg
Urusei Yatsura,https://upload.wikimedia.org/wikipedia/en/6/66/Urusei_Yatsura_volume_1_tankobon_cover.jpg
Yattodetaman,https://upload.wikimedia.org/wikipedia/en/4/44/Yattodetaman.jpg
Aladdin and the Wonderful Lamp (1982 film),https://upload.wikimedia.org/wikipedia/en/9/94/Aladdin_1982_film.png
Andromeda Stories,https://upload.wikimedia.org/wikipedia/en/d/d5/Andromeda_Stories.jpg
Arcadia of My Youth,https://upload.wikimedia.org/wikipedia/en/6/69/Arcadia_of_My_Youth_poster.png
Arcadia of My Youth: Endless Orbit SSX,https://upload.wikimedia.org/wikipedia/en/4/40/Arcadia_of_My_Youth_Endless_Orbit_SSX%2C_Volume_1.jpg
Armored Fleet Dairugger XV,https://upload.wikimedia.org/wikipedia/en/8/8d/DairuggerPromo.jpg
Cobra (manga),https://upload.wikimedia.org/wikipedia/en/7/7e/Cobra_tankou_vol_1.jpg
Combat Mecha Xabungle,https://upload.wikimedia.org/wikipedia/en/1/1b/Combat_Mecha_Xabungle_DVD_box_part_1_cover.jpg
Don Dracula,https://upload.wikimedia.org/wikipedia/en/a/ab/Don_Dracula-1.jpg
Game Center Arashi,https://upload.wikimedia.org/wikipedia/en/3/3a/Game_Center_Arashi_manga_vol_1_reprint.jpg
Gauche the Cellist,https://upload.wikimedia.org/wikipedia/en/0/01/Gauche_AMJuJu.jpg
GoShogun,https://upload.wikimedia.org/wikipedia/en/8/8d/Emotion_the_Best-_Sengoku_Majin_GoShogun_DVD-Box.jpg
Gyakuten! Ippatsuman,https://upload.wikimedia.org/wikipedia/en/a/a7/Gyakuten%21_Ippatsuman.jpg
Haguregumo,https://upload.wikimedia.org/wikipedia/en/b/b3/Haguregumo_Vol_1.JPG
Kaibutsu-kun,https://upload.wikimedia.org/wikipedia/en/6/67/Kaibutsu-kun.jpg
Little Pollon,https://upload.wikimedia.org/wikipedia/en/b/bd/Little_Pollon.jpg
Lucy of the Southern Rainbow,https://upload.wikimedia.org/wikipedia/en/e/e2/Lucy_of_the_Southern_Rainbow.jpg
Magical Princess Minky Momo,https://upload.wikimedia.org/wikipedia/en/6/6a/MynkyMomo_2nd.jpg
Maya the Honey Bee,https://upload.wikimedia.org/wikipedia/en/e/e8/Maya_the_Honey_Bee.jpg
Mobile Suit Gundam,https://upload.wikimedia.org/wikipedia/en/f/f8/MobileSuitGundamDVDbox.jpg
Patalliro!,https://upload.wikimedia.org/wikipedia/en/e/e5/Patalliro77.jpg
Space Runaway Ideon,https://upload.wikimedia.org/wikipedia/en/5/57/IdeonMovie_BD.jpg
Techno Police 21C,https://upload.wikimedia.org/wikipedia/en/c/cb/Techno_Police_21C.jpg
The Flying House (TV series),https://upload.wikimedia.org/wikipedia/en/9/92/The_Flying_House.jpg
The Kabocha Wine,https://upload.wikimedia.org/wikipedia/en/3/31/The_Kabocha_Wine.jpg
The Mysterious Cities of Gold,https://upload.wikimedia.org/wikipedia/en/7/7d/The_Mysterious_Cities_of_Gold.jpg
The Super Dimension Fortress Macross,https://upload.wikimedia.org/wikipedia/en/9/97/Region1_Macross_box_.jpg
Ai Shite Knight,https://upload.wikimedia.org/wikipedia/en/0/0f/Ai_shite_knight.png
Aura Battler Dunbine,https://upload.wikimedia.org/wikipedia/en/0/03/Aura_Battler_Dunbine.jpg
Barefoot Gen (1983 film),https://upload.wikimedia.org/wikipedia/en/9/98/Hadashi-no-gen-japanese-movie-poster-md.jpg
Captain (manga),https://upload.wikimedia.org/wikipedia/en/b/b3/Captain_Chiba_Akio_volume_1_bunko.gif
Captain Tsubasa,https://upload.wikimedia.org/wikipedia/en/d/d8/Captain_Tsubasa_%28%E3%82%AD%E3%83%A3%E3%83%97%E3%83%86%E3%83%B3%E7%BF%BC%29_first_edition_%28manga_1981%29.jpg
Cat's Eye (manga),https://upload.wikimedia.org/wikipedia/en/c/c8/Cat%27s_Eye_%28manga%29.jpg
Combat Mecha Xabungle,https://upload.wikimedia.org/wikipedia/en/1/1b/Combat_Mecha_Xabungle_DVD_box_part_1_cover.jpg
Crusher Joe,https://upload.wikimedia.org/wikipedia/en/0/0d/Crusher_Joe_1_novel_first_edition_cover.jpeg
Daicon III and IV Opening Animations,https://upload.wikimedia.org/wikipedia/en/2/20/DAICON_IV_Opening_Animation.jpg
Dallos,https://upload.wikimedia.org/wikipedia/en/9/96/Dallos_anime.jpg
Dr. Slump,https://upload.wikimedia.org/wikipedia/en/c/cd/DrSlump1.jpg
Fang of the Sun Dougram,https://upload.wikimedia.org/wikipedia/en/8/8e/Fang_of_the_Sun_Dougram.jpg
